,Player,Age,GS,3PA,2PA,FTA,TRB,AST,STL,BLK,TOV,PF,PTS,W/L%,SRS,TS%
0,Aaron Gordon,26,2.118708131279523,0.35889223459353575,1.0995719759365363,0.9116354300772913,1.0198850887532136,0.34449652426794714,-0.016339341455174267,0.6139190578082996,0.9493426660948893,0.4995844573747655,1.067394103416868,0.615037631779297,0.4753083643037423,0.530068487738915
1,Austin Rivers,29,-0.09032134437200691,0.3148139150789014,-0.6718421000238666,-0.5805240158388689,-0.7264275868006385,-0.3098846285801155,0.46587049173411715,-0.7182941056566249,-0.2618600183998566,0.24885978154587032,-0.3537622182539195,0.615037631779297,0.4753083643037423,0.10202638662531524
2,Bol Bol,22,-0.7879095998409111,-1.0516139898747616,-0.7318900348021853,-0.7670439465783889,-0.8511642064830565,-0.8006704932161625,-1.2218639244284024,-0.7182941056566249,-0.8674613606472296,-1.6315752871708438,-0.9222247469222343,0.615037631779297,0.4753083643037423,0.35232619246482383
3,Bones Hyland,21,-0.632889987514488,1.1082236663423188,-0.2815305239647947,0.10338239687270452,-0.3106388545259117,0.5080918124799627,-0.016339341455174267,-0.18540884027065505,0.22262105539804164,0.750309133203661,0.2936534393961058,0.615037631779297,0.4753083643037423,0.18281143900974867
4,Bryn Forbes,28,-0.7103997936776996,0.5352055126520728,-0.22148258918647606,-0.2696574646063356,-0.9343219529380017,-0.47347991679213125,-0.7396540912391111,-0.7182941056566249,-0.38298028684933133,-0.37795190802636774,0.08837530404365888,0.615037631779297,0.4753083643037423,0.2872505895988981
5,Carlik Jones,24,-0.7879095998409111,-1.0956923093893958,-0.7318900348021853,-0.7670439465783889,-1.1837951923028378,-0.47347991679213125,-0.9807590078337567,-0.9847367383496097,-0.5041005552988058,-2.0076623009141867,-1.1748747596637077,0.615037631779297,0.4753083643037423,-2.4647942026606366
6,Davon Reed,26,-0.5941350844328822,-0.3904391971552472,-0.7318900348021853,-0.8292172568248956,-0.4769543474358025,-0.41894815405479263,-0.25744425804981985,-0.45185147296363987,-0.8674613606472296,-0.37795190802636774,-0.6064122309953928,0.615037631779297,0.4753083643037423,0.6886496756718555
7,DeMarcus Cousins,31,-0.5166252782696706,-0.08189096055280719,0.048733117315958356,0.6007688788447579,0.8951484690707954,-0.20082110310543844,0.22476557513947132,0.08103379242232991,0.9493426660948893,1.6278454986047939,0.11995655563634293,0.615037631779297,0.4753083643037423,0.2655530724645716
8,Facundo Campazzo,30,-0.632889987514488,0.13850063702036428,-0.7318900348021853,-0.2696574646063356,-0.6848487135731658,0.8352823889039941,0.9480803249234083,0.08103379242232991,-0.019619481500907487,0.3742221194603178,-0.4958778504209983,0.615037631779297,0.4753083643037423,-0.2534267083369875
9,JaMychal Green,31,-0.4778703751880648,-0.34636087764061296,-0.31155449135395413,-0.14531084411332226,0.3130442438861783,-0.5280116795294698,-0.016339341455174267,0.08103379242232991,-0.14073974995038205,1.001033809032556,-0.29059971506855115,0.615037631779297,0.4753083643037423,0.3680454873983054
10,James Ennis III,31,-0.7879095998409111,-0.6989874337576872,-0.5217222630780698,-0.5805240158388689,-0.7264275868006385,-0.8006704932161625,-0.7396540912391111,-0.18540884027065505,-0.8674613606472296,-1.1301259355130535,-0.6537841083844191,0.615037631779297,0.4753083643037423,0.1635009176162148
11,Jeff Green,35,1.6536492943002534,-0.21412591909671,0.22887692165091447,0.6007688788447579,-0.14432336161602108,-0.3098846285801155,-0.4985491746444654,0.08103379242232991,-0.14073974995038205,0.4995844573747655,0.3252346909887901,0.615037631779297,0.4753083643037423,0.702301497733666
12,Markus Howard,22,-0.7879095998409111,-0.17004759958207585,-0.9120338391371415,-0.5805240158388689,-1.2669529387577831,-0.9097340186908397,-0.7396540912391111,-0.9847367383496097,-0.9885816290967042,-1.3808506113419488,-0.6537841083844191,0.615037631779297,0.4753083643037423,0.27842764344231097
13,Michael Porter Jr.,23,-0.439115472106459,1.152301985856953,0.6191884977099862,-0.3940040850993489,1.310937201345522,0.01730594784391574,1.1891852415180542,-0.45185147296363987,0.3437413238475163,0.24885978154587032,0.26207218780342173,0.615037631779297,0.4753083643037423,-0.8474100933887464
14,Monte Morris,26,2.079953228197917,0.6674404711959758,0.6191884977099862,-0.3318307748528422,-0.18590223484349377,1.3806000162773797,0.22476557513947132,-0.45185147296363987,-0.019619481500907487,-0.5033142459408154,0.6884190843046578,0.615037631779297,0.4753083643037423,0.3985584696722818
15,Nikola Jokic,26,2.079953228197917,0.5352055126520728,2.931033986675258,2.901181357965505,4.304616073723554,3.2892117120842292,2.1536049078966366,1.4132469558872545,3.3717480350843805,1.2517584848614514,2.9780598247742596,0.615037631779297,0.4753083643037423,0.981180993701219
